age,sex,webhltbeh,wwwhr,happy,health,life
39.0,female,,,pretty happy,excellent,
73.0,male,,,not too happy,poor,
38.0,male,,,not too happy,excellent,
55.0,male,,,pretty happy,good,
30.0,male,,,pretty happy,good,
44.0,female,,,very happy,fair,
43.0,female,,,pretty happy,good,
38.0,male,,,not too happy,excellent,
44.0,female,,,pretty happy,excellent,
75.0,female,,,pretty happy,good,
43.0,male,,,very happy,excellent,
43.0,female,,,pretty happy,good,
27.0,male,,,very happy,good,
58.0,male,,,very happy,fair,
45.0,male,,,very happy,good,
31.0,male,,,very happy,excellent,
23.0,female,,,very happy,good,
69.0,male,,,very happy,good,
35.0,female,,,pretty happy,good,
43.0,female,,,pretty happy,good,
56.0,female,,,not too happy,good,
36.0,female,,,not too happy,fair,
47.0,female,,,very happy,excellent,
29.0,male,,,pretty happy,good,
60.0,male,,,pretty happy,good,
37.0,female,,,very happy,good,
20.0,male,,,very happy,good,
55.0,female,,,pretty happy,fair,
71.0,female,,,pretty happy,poor,
30.0,male,,,pretty happy,good,
59.0,female,,,pretty happy,poor,
42.0,female,,,very happy,excellent,
55.0,female,,,very happy,fair,
24.0,male,,,not too happy,fair,
30.0,male,,,not too happy,good,
70.0,male,,,very happy,good,
43.0,female,,,pretty happy,fair,
45.0,male,,,not too happy,good,
25.0,male,,,pretty happy,good,
37.0,female,,,not too happy,excellent,
22.0,male,,,pretty happy,good,
27.0,female,,,not too happy,excellent,
28.0,female,,,pretty happy,excellent,
42.0,male,,,very happy,excellent,
42.0,female,,,pretty happy,excellent,
30.0,male,,,pretty happy,excellent,
40.0,female,,,pretty happy,good,
37.0,male,,,very happy,good,
24.0,female,,,pretty happy,excellent,
46.0,male,,,very happy,excellent,
53.0,female,,,pretty happy,good,
64.0,male,,,pretty happy,fair,
20.0,female,,,very happy,excellent,
60.0,male,,,very happy,good,
33.0,male,,,pretty happy,excellent,
70.0,female,,,pretty happy,good,
60.0,male,,,very happy,fair,
26.0,female,,,very happy,excellent,
74.0,female,,,not too happy,fair,
33.0,female,,,very happy,good,
23.0,female,,,pretty happy,fair,
19.0,male,,,pretty happy,good,
59.0,female,,,not too happy,good,
70.0,female,,,pretty happy,fair,
52.0,male,,,pretty happy,fair,
,female,,,not too happy,poor,
75.0,male,,,very happy,poor,
49.0,female,,,very happy,fair,
49.0,male,,,pretty happy,good,
46.0,male,,,pretty happy,good,
